      hour_bucket       | count 
------------------------+-------
 2026-02-10 11:00:00+00 |     6
 2026-02-10 12:00:00+00 |     5
 2026-02-10 17:00:00+00 |   725
 2026-02-10 18:00:00+00 |  1453
 2026-02-10 19:00:00+00 |  1446
 2026-02-10 20:00:00+00 |  1440
 2026-02-10 21:00:00+00 |  1440
 2026-02-10 22:00:00+00 |  1440
 2026-02-10 23:00:00+00 |  1440
 2026-02-11 00:00:00+00 |  1440
 2026-02-11 01:00:00+00 |  1440
 2026-02-11 02:00:00+00 |  1440
 2026-02-11 03:00:00+00 |  1440
 2026-02-11 04:00:00+00 |  1440
 2026-02-11 05:00:00+00 |  1440
 2026-02-11 06:00:00+00 |  1441
 2026-02-11 07:00:00+00 |  1444
 2026-02-11 08:00:00+00 |  1440
 2026-02-11 09:00:00+00 |  1440
 2026-02-11 10:00:00+00 |  1441
 2026-02-11 11:00:00+00 |   772
(21 rows)

